Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,IN,1,2019,47,F,true,JMC,SEPTEMBER,2021,Lecture 11
1,IN,1,2019,47,F,true,PYC,FEBRUARY,2022,Lecture 3
2,IN,3,2025,83,F,true,JMC,FEBRUARY,2025,Lecture 5
2,IN,3,2025,83,F,true,PYC,AUGUST,2025,Lecture 8
3,GB,7,2020,81,U,false,JMC,APRIL,2022,Lecture 13
3,GB,7,2020,81,U,false,PYC,NOVEMBER,2023,Lecture 1
4,US,3,2024,69,F,false,JMC,NOVEMBER,2024,Lecture 9
4,US,3,2024,69,F,false,PYC,OCTOBER,2025,Lecture 10
5,AU,10,2016,37,F,true,JMC,JULY,2025,Lecture 9
5,AU,10,2016,37,F,true,PYC,MAY,2023,Lecture 8
6,CN,9,2017,37,F,true,JMC,JULY,2019,Lecture 1
6,CN,9,2017,37,F,true,PYC,NOVEMBER,2017,Lecture 4
7,CN,8,2020,32,M,true,JMC,APRIL,2023,Lecture 4
7,CN,8,2020,32,M,true,PYC,SEPTEMBER,2022,Lecture 11
8,IN,12,2018,66,U,true,JMC,APRIL,2022,Lecture 3
8,IN,12,2018,66,U,true,PYC,OCTOBER,2019,Lecture 1
9,GB,1,2022,48,M,false,JMC,JUNE,2024,Lecture 8
9,GB,1,2022,48,M,false,PYC,JUNE,2024,Lecture 10
10,US,9,2015,32,U,false,JMC,AUGUST,2016,Lecture 7
10,US,9,2015,32,U,false,PYC,MARCH,2017,Lecture 3
11,US,1,2021,39,U,true,JMC,OCTOBER,2024,Lecture 12
11,US,1,2021,39,U,true,PYC,MAY,2022,Lecture 7
12,CN,11,2024,67,M,false,JMC,APRIL,2024,Lecture 1
12,CN,11,2024,67,M,false,PYC,MAY,2024,Lecture 9
13,CN,1,2022,73,U,true,JMC,JANUARY,2022,Lecture 6
13,CN,1,2022,73,U,true,PYC,DECEMBER,2025,Lecture 8
14,US,5,2020,21,M,true,JMC,MAY,2024,Lecture 4
14,US,5,2020,21,M,true,PYC,NOVEMBER,2025,Lecture 1
15,CN,4,2018,38,M,true,JMC,JUNE,2020,Lecture 8
15,CN,4,2018,38,M,true,PYC,JULY,2024,Lecture 6
16,GB,11,2019,49,M,true,JMC,MARCH,2020,Lecture 1
16,GB,11,2019,49,M,true,PYC,SEPTEMBER,2019,Lecture 10
17,IN,6,2019,70,U,true,JMC,AUGUST,2021,Lecture 10
17,IN,6,2019,70,U,true,PYC,MARCH,2021,Lecture 8
18,CN,3,2017,46,M,false,JMC,NOVEMBER,2020,Lecture 6
18,CN,3,2017,46,M,false,PYC,AUGUST,2024,Lecture 14
19,GB,2,2024,83,U,true,JMC,JULY,2025,Lecture 5
19,GB,2,2024,83,U,true,PYC,JANUARY,2024,Lecture 3
20,CN,5,2022,23,U,false,JMC,MAY,2025,Lecture 10
20,CN,5,2022,23,U,false,PYC,OCTOBER,2023,Lecture 1
21,GB,5,2019,51,U,false,JMC,JANUARY,2020,Lecture 8
21,GB,5,2019,51,U,false,PYC,OCTOBER,2019,Lecture 14
22,CN,4,2018,26,M,false,JMC,FEBRUARY,2018,Lecture 14
22,CN,4,2018,26,M,false,PYC,SEPTEMBER,2018,Lecture 10
23,CN,7,2015,74,M,false,JMC,APRIL,2015,Lecture 9
23,CN,7,2015,74,M,false,PYC,OCTOBER,2021,Lecture 9
24,US,2,2024,58,U,true,JMC,JANUARY,2025,Lecture 10
24,US,2,2024,58,U,true,PYC,OCTOBER,2024,Lecture 8
25,GB,12,2024,48,U,false,JMC,JULY,2024,Lecture 14
25,GB,12,2024,48,U,false,PYC,JANUARY,2025,Lecture 1
